Fecha;Llamadas_Predecidas;Llamadas_Recibidas;Es_Cyber;;;;;;;;;;;;;;;;;
02-01-2022;638;685;NO;;;;;;;;;;;;;;;;;
03-01-2022;4487;3942;NO;;;;;;;;;;;;;;;;;
04-01-2022;4769;3962;NO;;;;;;;;;;;;;;;;;
05-01-2022;3967;4549;NO;;;;;;;;;;;;;;;;;
06-01-2022;3461;3640;NO;;;;;;;;;;;;;;;;;
07-01-2022;2982;3098;NO;;;;;;;;;;;;;;;;;
08-01-2022;1332;1283;NO;;;;;;;;;;;;;;;;;
09-01-2022;733;625;NO;;;;;;;;;;;;;;;;;
10-01-2022;2944;3545;NO;;;;;;;;;;;;;;;;;
11-01-2022;2888;2840;NO;;;;;;;;;;;;;;;;;
12-01-2022;2950;2802;NO;;;;;;;;;;;;;;;;;
13-01-2022;2709;2795;NO;;;;;;;;;;;;;;;;;
14-01-2022;2985;2697;NO;;;;;;;;;;;;;;;;;
15-01-2022;1248;1221;NO;;;;;;;;;;;;;;;;;
16-01-2022;601;669;NO;;;;;;;;;;;;;;;;;
17-01-2022;2687;3048;NO;;;;;;;;;;;;;;;;;
18-01-2022;2713;3060;NO;;;;;;;;;;;;;;;;;
19-01-2022;2571;2722;NO;;;;;;;;;;;;;;;;;
20-01-2022;2697;2639;NO;;;;;;;;;;;;;;;;;
21-01-2022;2692;2450;NO;;;;;;;;;;;;;;;;;
22-01-2022;1093;1264;NO;;;;;;;;;;;;;;;;;
23-01-2022;557;589;NO;;;;;;;;;;;;;;;;;
24-01-2022;2708;3028;NO;;;;;;;;;;;;;;;;;
25-01-2022;2613;3278;NO;;;;;;;;;;;;;;;;;
26-01-2022;2613;2680;NO;;;;;;;;;;;;;;;;;
27-01-2022;2501;2590;NO;;;;;;;;;;;;;;;;;
28-01-2022;2378;2877;NO;;;;;;;;;;;;;;;;;
29-01-2022;1142;1783;NO;;;;;;;;;;;;;;;;;
30-01-2022;647;786;NO;;;;;;;;;;;;;;;;;
31-01-2022;3197;3679;NO;;;;;;;;;;;;;;;;;
01-02-2022;3107;3178;NO;;;;;;;;;;;;;;;;;
02-02-2022;2968;3205;NO;;;;;;;;;;;;;;;;;
03-02-2022;2820;3428;NO;;;;;;;;;;;;;;;;;
04-02-2022;2699;2838;NO;;;;;;;;;;;;;;;;;
05-02-2022;1279;1554;NO;;;;;;;;;;;;;;;;;
06-02-2022;585;682;NO;;;;;;;;;;;;;;;;;
07-02-2022;3147;3421;NO;;;;;;;;;;;;;;;;;
08-02-2022;2955;2798;NO;;;;;;;;;;;;;;;;;
09-02-2022;2560;3200;NO;;;;;;;;;;;;;;;;;
10-02-2022;2626;2912;NO;;;;;;;;;;;;;;;;;
11-02-2022;2482;2524;NO;;;;;;;;;;;;;;;;;
12-02-2022;1489;1118;NO;;;;;;;;;;;;;;;;;
13-02-2022;838;597;NO;;;;;;;;;;;;;;;;;
14-02-2022;2867;2853;NO;;;;;;;;;;;;;;;;;
15-02-2022;2720;2686;NO;;;;;;;;;;;;;;;;;
16-02-2022;2403;2547;NO;;;;;;;;;;;;;;;;;
17-02-2022;2453;3940;NO;;;;;;;;;;;;;;;;;
18-02-2022;2318;2584;NO;;;;;;;;;;;;;;;;;
19-02-2022;1392;1162;NO;;;;;;;;;;;;;;;;;
20-02-2022;841;591;NO;;;;;;;;;;;;;;;;;
21-02-2022;3042;2857;NO;;;;;;;;;;;;;;;;;
22-02-2022;2877;2527;NO;;;;;;;;;;;;;;;;;
23-02-2022;2565;2720;NO;;;;;;;;;;;;;;;;;
24-02-2022;2646;2663;NO;;;;;;;;;;;;;;;;;
25-02-2022;2538;2556;NO;;;;;;;;;;;;;;;;;
26-02-2022;1514;1642;NO;;;;;;;;;;;;;;;;;
27-02-2022;936;855;NO;;;;;;;;;;;;;;;;;
28-02-2022;3279;3646;NO;;;;;;;;;;;;;;;;;
01-03-2022;4357;3223;NO;;;;;;;;;;;;;;;;;
02-03-2022;3667;3092;NO;;;;;;;;;;;;;;;;;
03-03-2022;3750;3791;NO;;;;;;;;;;;;;;;;;
04-03-2022;3532;3128;NO;;;;;;;;;;;;;;;;;
05-03-2022;1756;1618;NO;;;;;;;;;;;;;;;;;
06-03-2022;966;810;NO;;;;;;;;;;;;;;;;;
07-03-2022;2857;3434;NO;;;;;;;;;;;;;;;;;
08-03-2022;2668;2813;NO;;;;;;;;;;;;;;;;;
09-03-2022;2559;2806;NO;;;;;;;;;;;;;;;;;
10-03-2022;2369;3861;NO;;;;;;;;;;;;;;;;;
11-03-2022;2252;2525;NO;;;;;;;;;;;;;;;;;
12-03-2022;1152;1327;NO;;;;;;;;;;;;;;;;;
13-03-2022;635;690;NO;;;;;;;;;;;;;;;;;
14-03-2022;2932;2761;NO;;;;;;;;;;;;;;;;;
15-03-2022;3182;2928;NO;;;;;;;;;;;;;;;;;
16-03-2022;2652;2836;NO;;;;;;;;;;;;;;;;;
17-03-2022;2582;2730;NO;;;;;;;;;;;;;;;;;
18-03-2022;2433;2622;NO;;;;;;;;;;;;;;;;;
19-03-2022;1234;1498;NO;;;;;;;;;;;;;;;;;
20-03-2022;712;825;NO;;;;;;;;;;;;;;;;;
21-03-2022;3330;3726;NO;;;;;;;;;;;;;;;;;
22-03-2022;3177;3117;NO;;;;;;;;;;;;;;;;;
23-03-2022;3125;3063;NO;;;;;;;;;;;;;;;;;
24-03-2022;2879;2894;NO;;;;;;;;;;;;;;;;;
25-03-2022;2856;2881;NO;;;;;;;;;;;;;;;;;
26-03-2022;1205;1672;NO;;;;;;;;;;;;;;;;;
27-03-2022;693;948;NO;;;;;;;;;;;;;;;;;
28-03-2022;4156;3614;NO;;;;;;;;;;;;;;;;;
29-03-2022;4165;3536;NO;;;;;;;;;;;;;;;;;
30-03-2022;4136;3809;NO;;;;;;;;;;;;;;;;;
31-03-2022;3910;4302;NO;;;;;;;;;;;;;;;;;
01-04-2022;2972;4217;NO;;;;;;;;;;;;;;;;;
02-04-2022;1559;2172;NO;;;;;;;;;;;;;;;;;
03-04-2022;858;1278;NO;;;;;;;;;;;;;;;;;
04-04-2022;4578;5613;NO;;;;;;;;;;;;;;;;;
05-04-2022;4052;5962;NO;;;;;;;;;;;;;;;;;
06-04-2022;4286;4733;NO;;;;;;;;;;;;;;;;;
07-04-2022;3913;4576;NO;;;;;;;;;;;;;;;;;
08-04-2022;3712;3794;NO;;;;;;;;;;;;;;;;;
09-04-2022;2179;1475;NO;;;;;;;;;;;;;;;;;
10-04-2022;1009;723;NO;;;;;;;;;;;;;;;;;
11-04-2022;4108;3439;NO;;;;;;;;;;;;;;;;;
12-04-2022;3882;2780;NO;;;;;;;;;;;;;;;;;
13-04-2022;3583;2544;NO;;;;;;;;;;;;;;;;;
14-04-2022;3582;2645;NO;;;;;;;;;;;;;;;;;
15-04-2022;2983;601;NO;;;;;;;;;;;;;;;;;
16-04-2022;1887;676;NO;;;;;;;;;;;;;;;;;
17-04-2022;950;654;NO;;;;;;;;;;;;;;;;;
18-04-2022;4092;3175;NO;;;;;;;;;;;;;;;;;
19-04-2022;3948;3053;NO;;;;;;;;;;;;;;;;;
20-04-2022;3680;2847;NO;;;;;;;;;;;;;;;;;
21-04-2022;3840;3111;NO;;;;;;;;;;;;;;;;;
22-04-2022;3401;2646;NO;;;;;;;;;;;;;;;;;
23-04-2022;1714;1765;NO;;;;;;;;;;;;;;;;;
24-04-2022;980;874;NO;;;;;;;;;;;;;;;;;
25-04-2022;4363;3313;NO;;;;;;;;;;;;;;;;;
26-04-2022;4163;2961;NO;;;;;;;;;;;;;;;;;
27-04-2022;3928;3532;NO;;;;;;;;;;;;;;;;;
28-04-2022;4099;2880;NO;;;;;;;;;;;;;;;;;
29-04-2022;3814;3203;NO;;;;;;;;;;;;;;;;;
30-04-2022;2143;1555;NO;;;;;;;;;;;;;;;;;
01-05-2022;;;NO;;;;;;;;;;;;;;;;;
02-05-2022;4236;4040;NO;;;;;;;;;;;;;;;;;
03-05-2022;4226;3322;NO;;;;;;;;;;;;;;;;;
04-05-2022;4071;3328;NO;;;;;;;;;;;;;;;;;
05-05-2022;4045;3057;NO;;;;;;;;;;;;;;;;;
06-05-2022;3404;3292;NO;;;;;;;;;;;;;;;;;
07-05-2022;1319;1497;NO;;;;;;;;;;;;;;;;;
08-05-2022;704;985;NO;;;;;;;;;;;;;;;;;
09-05-2022;4120;3358;NO;;;;;;;;;;;;;;;;;
10-05-2022;3891;2876;NO;;;;;;;;;;;;;;;;;
11-05-2022;3460;2792;NO;;;;;;;;;;;;;;;;;
12-05-2022;3659;2638;NO;;;;;;;;;;;;;;;;;
13-05-2022;3380;2064;NO;;;;;;;;;;;;;;;;;
14-05-2022;1881;1285;NO;;;;;;;;;;;;;;;;;
15-05-2022;839;726;NO;;;;;;;;;;;;;;;;;
16-05-2022;3257;2860;NO;;;;;;;;;;;;;;;;;
17-05-2022;3004;2782;NO;;;;;;;;;;;;;;;;;
18-05-2022;2684;2571;NO;;;;;;;;;;;;;;;;;
19-05-2022;2828;2813;NO;;;;;;;;;;;;;;;;;
20-05-2022;2599;2386;NO;;;;;;;;;;;;;;;;;
21-05-2022;1185;991;NO;;;;;;;;;;;;;;;;;
22-05-2022;678;683;NO;;;;;;;;;;;;;;;;;
23-05-2022;3807;3288;NO;;;;;;;;;;;;;;;;;
24-05-2022;3603;3090;NO;;;;;;;;;;;;;;;;;
25-05-2022;3313;2884;NO;;;;;;;;;;;;;;;;;
26-05-2022;3530;2706;NO;;;;;;;;;;;;;;;;;
27-05-2022;3178;3256;NO;;;;;;;;;;;;;;;;;
28-05-2022;2065;1504;NO;;;;;;;;;;;;;;;;;
29-05-2022;1460;794;NO;;;;;;;;;;;;;;;;;
30-05-2022;9967;5622;SI;;;;;;;;;;;;;;;;;
31-05-2022;10038;5537;SI;;;;;;;;;;;;;;;;;
01-06-2022;8210;5669;SI;;;;;;;;;;;;;;;;;33%
02-06-2022;4196;3904;NO;;;;;;;;;;;;;;;;;58%
03-06-2022;4043;3898;NO;;;;;;;;;;;;;;;;;58%
04-06-2022;1080;1828;NO;;;;;;;;;;;;;;;;;100%
05-06-2022;827;843;NO;;;;;;;;;;;;;;;;;100%
06-06-2022;3725;3998;NO;;;;;;;;;;;;;;;;;50%
07-06-2022;3537;3866;NO;;;;;;;;;;;;;;;;;50%
08-06-2022;3268;3392;NO;;;;;;;;;;;;;;;;;50%
09-06-2022;3324;3337;NO;;;;;;;;;;;;;;;;;58%
10-06-2022;2838;2925;NO;;;;;;;;;;;;;;;;;58%
11-06-2022;1626;1364;NO;;;;;;;;;;;;;;;;;92%
12-06-2022;803;742;NO;;;;;;;;;;;;;;;;;92%
13-06-2022;3463;3470;NO;;;;;;;;;;;;;;;;;50%
14-06-2022;3247;3145;NO;;;;;;;;;;;;;;;;;67%
15-06-2022;2923;2919;NO;;;;;;;;;;;;;;;;;58%
16-06-2022;2917;2781;NO;;;;;;;;;;;;;;;;;58%
17-06-2022;2392;2649;NO;;;;;;;;;;;;;;;;;67%
18-06-2022;1408;1456;NO;;;;;;;;;;;;;;;;;83%
19-06-2022;712;593;NO;;;;;;;;;;;;;;;;;83%
20-06-2022;3077;3192;NO;;;;;;;;;;;;;;;;;67%
21-06-2022;748;1091;NO;;;;;;;;;;;;;;;;;75%
22-06-2022;2711;3055;NO;;;;;;;;;;;;;;;;;83%
23-06-2022;2511;2790;NO;;;;;;;;;;;;;;;;;83%
24-06-2022;2244;2817;NO;;;;;;;;;;;;;;;;;58%
25-06-2022;1347;1473;NO;;;;;;;;;;;;;;;;;83%
26-06-2022;655;639;NO;;;;;;;;;;;;;;;;;92%
27-06-2022;837;943;NO;;;;;;;;;;;;;;;;;83%
28-06-2022;3221;3728;NO;;;;;;;;;;;;;;;;;58%
29-06-2022;3091;3531;NO;;;;;;;;;;;;;;;;;
30-06-2022;2827;3664;NO;;;;;;;;;;;;;;;;;
01-07-2022;2872;3349;NO;;;;;;;;;;;;;;;;;0%
02-07-2022;1294;1733;NO;;;;;;;;;;;;;;;;;0%
03-07-2022;635;800;NO;;;;;;;;;;;;;;;;;0%
04-07-2022;3988;4323;NO;;;;;;;;;;;;;;;;;43%
05-07-2022;3653;4489;NO;;;;;;;;;;;;;;;;;33%
06-07-2022;3490;3824;NO;;;;;;;;;;;;;;;;;50%
07-07-2022;3438;3747;NO;;;;;;;;;;;;;;;;;50%
08-07-2022;3156;3449;NO;;;;;;;;;;;;;;;;;67%
09-07-2022;1315;1637;NO;;;;;;;;;;;;;;;;;100%
10-07-2022;741;827;NO;;;;;;;;;;;;;;;;;100%
11-07-2022;3408;3624;NO;;;;;;;;;;;;;;;;;57%
12-07-2022;3320;3288;NO;;;;;;;;;;;;;;;;;60%
13-07-2022;3144;2407;NO;;;;;;;;;;;;;;;;;33%
14-07-2022;3100;2648;NO;;;;;;;;;;;;;;;;;67%
15-07-2022;2663;2265;NO;;;;;;;;;;;;;;;;;80%
16-07-2022;953;806;NO;;;;;;;;;;;;;;;;;67%
17-07-2022;654;561;NO;;;;;;;;;;;;;;;;;67%
18-07-2022;3392;2658;NO;;;;;;;;;;;;;;;;;71%
19-07-2022;3311;2551;NO;;;;;;;;;;;;;;;;;83%
20-07-2022;3281;2464;NO;;;;;;;;;;;;;;;;;-40%
21-07-2022;3128;2517;NO;;;;;;;;;;;;;;;;;-17%
22-07-2022;2787;2412;NO;;;;;;;;;;;;;;;;;-17%
23-07-2022;1198;1191;NO;;;;;;;;;;;;;;;;;67%
